img_name,dataset,coarse_iou,coarse_sm,coarse_mae,coarse_bf,naive_iou,naive_sm,naive_mae,naive_bf,naive_narrow_iou,naive_narrow_bf,refined_iou,refined_sm,refined_mae,refined_bf,refined_narrow_iou,refined_narrow_bf,coarse_narrow_iou,coarse_narrow_bf,centroid_distance,gt_area_ratio,gate_decision,S_score,LocalSAM_triggered
COD10K-CAM-2-Terrestrial-22-Bug-1288,TR-COD10K,0.022750227540678895,0.2648803335798261,0.5522330729166667,0.0,0.022753853924406042,0.26492007999164424,0.5521430121527777,0.0,0.38345908638942505,0.0,0.022753853924406042,0.26492007999164424,0.5521430121527777,0.0,0.38345908638942505,0.0,0.38345908638942505,0.0,0.08368420115956622,0.012855902777777779,full,8.542902,False
COD10K-CAM-2-Terrestrial-22-Bug-1290,TR-COD10K,0.0016629840140450348,0.23487838052023133,0.6163010157393851,0.0,0.0016628222586591817,0.23485028381184944,0.6163610678989752,0.0,0.21299317709878374,0.0,0.0016628222586591817,0.23485028381184944,0.6163610678989752,0.0,0.21299317709878374,0.0,0.21299317709878374,0.0,0.16830860524683428,0.0010266059663250366,full,4.980482,False
COD10K-CAM-2-Terrestrial-22-Bug-1292,TR-COD10K,0.060136951129599485,0.23992475835322274,0.5073560078938802,0.02332986162773397,0.06011710512364369,0.2399714607905067,0.5072161356608073,0.023240458529752053,0.1890839451005426,0.09119701642135453,0.06011710512364369,0.2399714607905067,0.5072161356608073,0.023240458529752053,0.1890839451005426,0.09119701642135453,0.18905980723814386,0.09125121241513094,0.10351876144613162,0.11513264973958333,fusion,0.555468,False
COD10K-CAM-2-Terrestrial-22-Bug-1294,TR-COD10K,0.12989306493028094,0.2982604489573847,0.5446370442708334,0.0,0.12990432436532273,0.29829079081322013,0.5445827907986112,0.0,0.47131340692050105,0.0,0.12990432436532273,0.29829079081322013,0.5445827907986112,0.0,0.47131340692050105,0.0,0.47131340692050105,0.0,0.03244789057569067,0.08130560980902778,full,5.397299,False
COD10K-CAM-2-Terrestrial-22-Bug-1295,TR-COD10K,0.14912649171251696,0.36419635212213225,0.4713554382324219,0.04106220435888537,0.1491739474862516,0.364300442225667,0.4711647033691406,0.04099012868683109,0.47621377318050506,0.14359040004739515,0.1491739474862516,0.364300442225667,0.4711647033691406,0.04099012868683109,0.47621377318050506,0.14359040004739515,0.47615941860194266,0.14385401056761382,0.2841391363400465,0.08467483520507812,full,4.129889,False
COD10K-CAM-2-Terrestrial-22-Bug-1296,TR-COD10K,0.105632573774348,0.5024510161938365,0.1498743693033854,0.03592283733008067,0.10565427619344016,0.5024568615099534,0.14981842041015625,0.03586304271090717,0.5054594149155336,0.25307685678190733,0.10565427619344016,0.5024568615099534,0.14981842041015625,0.03586304271090717,0.5054594149155336,0.25307685678190733,0.5056133484395922,0.25307685678190733,0.25314644393672997,0.018052419026692707,full,2.264398,False
COD10K-CAM-2-Terrestrial-22-Bug-1297,TR-COD10K,0.5741706329473609,0.7764650310190773,0.04455027587519026,0.06425759478489085,0.5742114236999147,0.776486218753415,0.04454284389269406,0.06411694634947436,0.452648151138382,0.09695867363892338,0.5742114236999147,0.776486218753415,0.04454284389269406,0.06411694634947436,0.452648151138382,0.09695867363892338,0.4526116089448615,0.09728066989938691,0.011208261873866513,0.060753484113394214,full,14.484879,False
COD10K-CAM-2-Terrestrial-23-Cat-1298,TR-COD10K,0.0910313006056035,0.27317183640540027,0.5928153935185185,0.01639544727683191,0.09103695520030526,0.2731992787593177,0.5927748842592593,0.016373076950173898,0.4818528911173467,0.054638642027554425,0.09103695520030526,0.2731992787593177,0.5927748842592593,0.016373076950173898,0.4818528911173467,0.054638642027554425,0.4818528911173467,0.054638642027554425,0.18622824480638356,0.06041666666666667,full,6.544787,False
COD10K-CAM-2-Terrestrial-23-Cat-1302,TR-COD10K,0.024914421378091873,0.2160016424074929,0.6635217098295947,0.0,0.02490556925783473,0.21585310123719126,0.6637635693772939,0.0,0.44406952965235175,0.0,0.02490556925783473,0.21585310123719126,0.6637635693772939,0.0,0.44406952965235175,0.0,0.44406952965235175,0.0,0.057303197807495106,0.016953649848426858,full,6.929731,False
COD10K-CAM-2-Terrestrial-23-Cat-1303,TR-COD10K,0.23567358828551818,0.6389318523688852,0.20966127224967396,0.09040678387792336,0.23540266024461765,0.6387335093339648,0.20995211766074567,0.0902631915959053,0.44192958390489256,0.2057455492531835,0.23540266024461765,0.6387335093339648,0.20995211766074567,0.0902631915959053,0.44192958390489256,0.2057455492531835,0.4420667581161408,0.2054562159869955,0.11221713977428965,0.07440590997875297,full,5.936252,False
